id,tag_id,name,category,count,ips
170,4867,wet,0,167275,[]
171,261,yuri,0,258561,[]
172,1387418,back_bow,0,30364,[]
173,674492,dress_bow,0,10726,[]
174,565513,floating_hair,0,154589,[]
175,600250,hair_tubes,0,84886,[]
176,539367,hand_up,0,426129,[]
177,463115,pink_bow,0,90976,[]
178,166531,pink_dress,0,74240,[]
179,46079,robot_ears,0,7479,[]
180,515193,white_background,0,1814403,[]
181,549629,ankle_lace-up,0,3509,[]
182,415839,armchair,0,7259,[]
183,2904,chair,0,118076,[]
184,535373,cross-laced_footwear,0,0,[]
185,486,doll,0,46401,[]
186,8091,drill_hair,0,105360,[]
187,1575,food,0,511734,[]
188,1354469,foot_dangle,0,803,[]
189,13027,fork,0,28454,[]
190,675346,frilled_ribbon,0,4398,[]
191,194013,frills,0,598850,[]
192,5832,fruit,0,125280,[]
193,666921,holding_fork,0,13749,[]
194,658682,knees_together_feet_apart,0,35698,[]
195,452086,lolita_fashion,0,35029,[]
196,662950,name_connection,0,11745,[]
197,467863,neck_ribbon,0,166295,[]
198,662265,object_namesake,0,4551,[]
199,933253,on_chair,0,29955,[]
200,683385,red_footwear,0,0,[]
201,8672,shoes,0,669159,[]
202,464582,strawberry,0,28990,[]
203,540830,1boy,0,1679376,[]
204,4333,bag,0,260638,[]
205,13200,black_hair,0,1767308,[]
206,11628,bowtie,0,370396,[]
207,380329,briefcase,0,5554,[]
208,476771,bush,0,22611,[]
209,473703,car_interior,0,4578,[]
210,465619,closed_eyes,0,836520,[]
211,435324,day,0,388759,[]
212,511141,from_side,0,262423,[]
213,669725,holding_bag,0,29178,[]
214,457877,leaning_back,0,22186,[]
215,3478,mirror,0,32672,[]
216,664375,parted_lips,0,586912,[]
217,423074,photo_background,0,10690,[]
218,383282,pleated_skirt,0,578863,[]
219,470807,red_bow,0,252471,[]
220,1281370,red_bowtie,0,84882,[]
221,503552,red_skirt,0,129297,[]
222,374849,school_bag,0,36270,[]
223,374948,school_briefcase,0,1975,[]
224,3875,sleeping,0,84346,[]
225,412080,sleeve_cuffs,0,21057,[]
226,931006,solo_focus,0,408665,[]
227,440465,speech_bubble,0,347871,[]
228,462974,squiggle,0,18568,[]
229,464586,tree,0,193953,[]
230,14599,:o,0,212969,[]
231,379820,aircraft,0,22205,[]
232,9114,antenna_hair,0,94137,[]
